timestamp,camera,t0_capture,t1_encode_start,t2_encode_end,t3_pyo3,t4_agg,t5_ui,total_latency_ms
2026-09-19 16:28:44.021,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815523.859,1789815523.932,1789815523.942,1789815524.019,1789815524.019,1789815524.022,162.53
2026-09-19 16:28:44.107,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815523.939,1789815524.019,1789815524.026,1789815524.102,1789815524.102,1789815524.107,168.49
2026-09-19 16:28:44.189,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815524.023,1789815524.103,1789815524.111,1789815524.185,1789815524.185,1789815524.189,165.85
2026-09-19 16:28:44.272,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815524.111,1789815524.185,1789815524.193,1789815524.267,1789815524.267,1789815524.272,161.34
2026-09-19 16:28:44.355,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815524.193,1789815524.267,1789815524.275,1789815524.351,1789815524.351,1789815524.356,162.66
2026-09-19 16:28:44.440,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815524.273,1789815524.351,1789815524.360,1789815524.437,1789815524.437,1789815524.440,166.89
2026-09-19 16:28:44.524,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815524.359,1789815524.437,1789815524.444,1789815524.521,1789815524.521,1789815524.524,164.98
2026-09-19 16:28:44.610,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815524.443,1789815524.521,1789815524.528,1789815524.606,1789815524.606,1789815524.610,166.88
2026-09-19 16:28:44.694,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815524.522,1789815524.606,1789815524.614,1789815524.690,1789815524.690,1789815524.694,171.93
2026-09-19 16:28:44.777,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815524.613,1789815524.690,1789815524.698,1789815524.774,1789815524.774,1789815524.778,164.51
2026-09-19 16:28:44.860,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815524.696,1789815524.774,1789815524.781,1789815524.856,1789815524.856,1789815524.860,163.65
2026-09-19 16:28:44.944,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815524.778,1789815524.857,1789815524.864,1789815524.940,1789815524.941,1789815524.944,166.17
2026-09-19 16:28:45.026,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815524.863,1789815524.941,1789815524.947,1789815525.023,1789815525.023,1789815525.026,162.94
2026-09-19 16:28:45.109,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815524.945,1789815525.023,1789815525.029,1789815525.106,1789815525.106,1789815525.109,164.22
2026-09-19 16:28:45.194,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815525.028,1789815525.106,1789815525.112,1789815525.190,1789815525.190,1789815525.194,165.96
2026-09-19 16:28:45.276,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815525.110,1789815525.190,1789815525.196,1789815525.273,1789815525.273,1789815525.276,166.02
2026-09-19 16:28:45.361,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815525.198,1789815525.273,1789815525.280,1789815525.357,1789815525.357,1789815525.361,163.45
2026-09-19 16:28:45.446,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815525.277,1789815525.358,1789815525.365,1789815525.443,1789815525.443,1789815525.447,169.18
2026-09-19 16:28:45.528,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815525.363,1789815525.443,1789815525.450,1789815525.525,1789815525.525,1789815525.529,165.20
2026-09-19 16:28:45.612,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815525.448,1789815525.525,1789815525.534,1789815525.609,1789815525.609,1789815525.612,164.76
2026-09-19 16:28:45.694,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815525.533,1789815525.609,1789815525.616,1789815525.691,1789815525.691,1789815525.694,161.28
2026-09-19 16:28:45.777,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815525.613,1789815525.691,1789815525.698,1789815525.774,1789815525.774,1789815525.777,163.99
2026-09-19 16:28:45.859,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815525.699,1789815525.774,1789815525.781,1789815525.856,1789815525.857,1789815525.859,160.51
2026-09-19 16:28:45.946,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815525.778,1789815525.857,1789815525.864,1789815525.943,1789815525.943,1789815525.947,168.50
2026-09-19 16:28:46.029,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815525.863,1789815525.943,1789815525.950,1789815526.025,1789815526.025,1789815526.029,165.73
2026-09-19 16:28:46.111,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815525.953,1789815526.026,1789815526.033,1789815526.108,1789815526.108,1789815526.111,158.01
2026-09-19 16:28:46.193,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815526.027,1789815526.108,1789815526.115,1789815526.190,1789815526.190,1789815526.194,167.01
2026-09-19 16:28:46.277,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815526.114,1789815526.190,1789815526.199,1789815526.274,1789815526.274,1789815526.277,163.26
2026-09-19 16:28:46.360,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815526.198,1789815526.274,1789815526.282,1789815526.357,1789815526.357,1789815526.361,162.98
2026-09-19 16:28:46.443,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815526.357,1789815526.357,1789815526.365,1789815526.440,1789815526.440,1789815526.444,86.55
2026-09-19 16:28:46.529,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815526.364,1789815526.440,1789815526.449,1789815526.525,1789815526.525,1789815526.529,165.61
2026-09-19 16:28:46.611,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815526.448,1789815526.526,1789815526.534,1789815526.608,1789815526.608,1789815526.611,163.18
2026-09-19 16:28:46.696,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815526.531,1789815526.608,1789815526.615,1789815526.693,1789815526.693,1789815526.696,165.86
2026-09-19 16:28:46.780,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815526.614,1789815526.693,1789815526.700,1789815526.777,1789815526.777,1789815526.780,166.01
2026-09-19 16:28:46.863,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815526.697,1789815526.777,1789815526.785,1789815526.861,1789815526.861,1789815526.864,166.68
2026-09-19 16:28:46.948,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815526.787,1789815526.861,1789815526.868,1789815526.945,1789815526.945,1789815526.949,162.13
2026-09-19 16:28:47.031,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815526.866,1789815526.945,1789815526.954,1789815527.028,1789815527.028,1789815527.031,165.12
2026-09-19 16:28:47.115,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815526.953,1789815527.028,1789815527.035,1789815527.111,1789815527.111,1789815527.116,162.81
2026-09-19 16:28:47.195,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815527.034,1789815527.111,1789815527.118,1789815527.193,1789815527.193,1789815527.196,161.72
2026-09-19 16:28:47.278,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815527.115,1789815527.193,1789815527.199,1789815527.275,1789815527.275,1789815527.279,163.98
2026-09-19 16:28:47.361,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815527.196,1789815527.275,1789815527.283,1789815527.358,1789815527.358,1789815527.362,165.94
2026-09-19 16:28:47.448,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815527.283,1789815527.358,1789815527.365,1789815527.445,1789815527.445,1789815527.449,165.63
2026-09-19 16:28:47.533,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815527.368,1789815527.445,1789815527.453,1789815527.530,1789815527.530,1789815527.534,165.64
2026-09-19 16:28:47.616,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815527.453,1789815527.530,1789815527.537,1789815527.613,1789815527.613,1789815527.617,164.06
2026-09-19 16:28:47.699,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815527.534,1789815527.613,1789815527.621,1789815527.696,1789815527.696,1789815527.699,164.78
2026-09-19 16:28:47.783,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815527.696,1789815527.696,1789815527.703,1789815527.780,1789815527.780,1789815527.783,87.45
2026-09-19 16:28:47.867,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815527.702,1789815527.780,1789815527.788,1789815527.864,1789815527.864,1789815527.868,165.79
2026-09-19 16:28:47.953,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815527.787,1789815527.864,1789815527.872,1789815527.949,1789815527.949,1789815527.953,165.98
2026-09-19 16:28:48.036,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815527.869,1789815527.949,1789815527.959,1789815528.033,1789815528.033,1789815528.037,167.22
2026-09-19 16:28:48.122,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815527.957,1789815528.033,1789815528.041,1789815528.118,1789815528.118,1789815528.122,165.16
2026-09-19 16:28:48.208,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815528.038,1789815528.119,1789815528.126,1789815528.204,1789815528.205,1789815528.209,170.96
2026-09-19 16:28:48.293,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815528.125,1789815528.205,1789815528.213,1789815528.289,1789815528.289,1789815528.293,168.33
2026-09-19 16:28:48.381,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815528.210,1789815528.289,1789815528.299,1789815528.375,1789815528.376,1789815528.382,171.70
2026-09-19 16:28:48.465,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815528.298,1789815528.376,1789815528.386,1789815528.462,1789815528.462,1789815528.466,167.98
2026-09-19 16:28:48.552,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815528.383,1789815528.463,1789815528.470,1789815528.547,1789815528.547,1789815528.553,169.99
2026-09-19 16:28:48.633,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815528.470,1789815528.547,1789815528.555,1789815528.630,1789815528.630,1789815528.633,163.03
2026-09-19 16:28:48.718,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815528.554,1789815528.630,1789815528.638,1789815528.714,1789815528.714,1789815528.719,164.17
2026-09-19 16:28:48.800,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815528.634,1789815528.715,1789815528.722,1789815528.797,1789815528.797,1789815528.801,166.67
2026-09-19 16:28:48.884,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815528.723,1789815528.798,1789815528.806,1789815528.881,1789815528.881,1789815528.885,162.02
2026-09-19 16:28:48.967,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815528.802,1789815528.881,1789815528.889,1789815528.964,1789815528.964,1789815528.967,165.44
2026-09-19 16:28:49.052,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815528.889,1789815528.964,1789815528.970,1789815529.048,1789815529.048,1789815529.053,163.28
2026-09-19 16:28:49.136,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815528.970,1789815529.049,1789815529.056,1789815529.134,1789815529.134,1789815529.137,167.10
2026-09-19 16:28:49.222,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815529.056,1789815529.134,1789815529.140,1789815529.219,1789815529.219,1789815529.222,166.64
2026-09-19 16:28:49.306,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815529.139,1789815529.219,1789815529.226,1789815529.303,1789815529.303,1789815529.306,167.78
2026-09-19 16:28:49.392,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815529.225,1789815529.303,1789815529.310,1789815529.389,1789815529.389,1789815529.393,168.01
2026-09-19 16:28:49.476,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815529.307,1789815529.389,1789815529.396,1789815529.472,1789815529.472,1789815529.477,169.24
2026-09-19 16:28:49.562,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815529.395,1789815529.473,1789815529.480,1789815529.559,1789815529.559,1789815529.562,166.92
2026-09-19 16:28:49.650,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815529.559,1789815529.559,1789815529.567,1789815529.644,1789815529.644,1789815529.650,91.32
2026-09-19 16:28:49.734,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815529.567,1789815529.644,1789815529.654,1789815529.731,1789815529.731,1789815529.735,167.74
2026-09-19 16:28:49.819,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815529.654,1789815529.732,1789815529.739,1789815529.816,1789815529.816,1789815529.820,166.17
2026-09-19 16:28:49.904,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815529.736,1789815529.816,1789815529.822,1789815529.901,1789815529.901,1789815529.905,168.72
2026-09-19 16:28:49.988,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815529.825,1789815529.901,1789815529.908,1789815529.984,1789815529.984,1789815529.988,163.00
2026-09-19 16:28:50.070,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815529.906,1789815529.985,1789815529.993,1789815530.067,1789815530.067,1789815530.071,165.04
2026-09-19 16:28:50.159,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815529.990,1789815530.068,1789815530.075,1789815530.152,1789815530.152,1789815530.159,169.04
2026-09-19 16:28:50.240,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815530.077,1789815530.153,1789815530.161,1789815530.237,1789815530.237,1789815530.240,163.59
2026-09-19 16:28:50.325,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815530.154,1789815530.237,1789815530.244,1789815530.322,1789815530.322,1789815530.325,170.97
2026-09-19 16:28:50.412,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815530.246,1789815530.322,1789815530.329,1789815530.409,1789815530.409,1789815530.413,167.04
2026-09-19 16:28:50.496,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815530.331,1789815530.409,1789815530.417,1789815530.493,1789815530.493,1789815530.497,165.70
2026-09-19 16:28:50.580,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815530.417,1789815530.493,1789815530.502,1789815530.577,1789815530.577,1789815530.581,163.47
2026-09-19 16:28:50.671,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815530.499,1789815530.578,1789815530.586,1789815530.662,1789815530.663,1789815530.671,172.58
2026-09-19 16:28:50.753,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815530.582,1789815530.663,1789815530.673,1789815530.747,1789815530.747,1789815530.753,171.46
2026-09-19 16:28:50.837,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815530.672,1789815530.747,1789815530.758,1789815530.833,1789815530.833,1789815530.838,165.84
2026-09-19 16:28:50.921,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815530.758,1789815530.833,1789815530.842,1789815530.918,1789815530.918,1789815530.921,163.07
2026-09-19 16:28:51.005,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815530.842,1789815530.918,1789815530.925,1789815531.002,1789815531.002,1789815531.006,163.96
2026-09-19 16:28:51.090,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815530.924,1789815531.003,1789815531.010,1789815531.088,1789815531.088,1789815531.091,166.73
2026-09-19 16:28:51.176,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815531.007,1789815531.088,1789815531.095,1789815531.173,1789815531.173,1789815531.176,169.28
2026-09-19 16:28:51.262,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815531.094,1789815531.173,1789815531.180,1789815531.259,1789815531.259,1789815531.263,168.44
2026-09-19 16:28:51.348,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815531.177,1789815531.259,1789815531.267,1789815531.344,1789815531.344,1789815531.348,170.70
2026-09-19 16:28:51.439,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815531.266,1789815531.344,1789815531.353,1789815531.431,1789815531.431,1789815531.440,174.16
2026-09-19 16:28:51.520,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815531.349,1789815531.431,1789815531.442,1789815531.516,1789815531.517,1789815531.521,171.94
2026-09-19 16:28:51.606,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815531.441,1789815531.517,1789815531.526,1789815531.603,1789815531.603,1789815531.607,165.61
2026-09-19 16:28:51.691,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815531.525,1789815531.603,1789815531.610,1789815531.687,1789815531.688,1789815531.691,165.73
2026-09-19 16:28:51.776,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815531.607,1789815531.688,1789815531.695,1789815531.773,1789815531.773,1789815531.776,169.14
2026-09-19 16:28:51.860,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815531.694,1789815531.773,1789815531.780,1789815531.857,1789815531.857,1789815531.861,166.89
2026-09-19 16:28:51.945,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815531.782,1789815531.857,1789815531.865,1789815531.941,1789815531.941,1789815531.945,162.94
2026-09-19 16:28:52.030,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815531.862,1789815531.942,1789815531.950,1789815532.026,1789815532.026,1789815532.030,168.61
2026-09-19 16:28:52.114,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815531.949,1789815532.027,1789815532.034,1789815532.111,1789815532.111,1789815532.115,165.34
2026-09-19 16:28:52.199,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815532.031,1789815532.111,1789815532.119,1789815532.196,1789815532.196,1789815532.200,168.31
2026-09-19 16:28:52.282,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815532.116,1789815532.196,1789815532.203,1789815532.279,1789815532.279,1789815532.282,166.43
2026-09-19 16:28:52.367,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815532.201,1789815532.279,1789815532.286,1789815532.363,1789815532.364,1789815532.367,166.46
2026-09-19 16:28:52.457,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815532.287,1789815532.364,1789815532.373,1789815532.449,1789815532.449,1789815532.458,171.12
2026-09-19 16:28:52.535,onvif-e9b03eab-61a3-46bd-9f42-888fd59ddbc4,1789815532.372,1789815532.449,1789815532.459,1789815532.532,1789815532.532,1789815532.536,163.26
